epoch,global_step,train_loss,train_grad_norm_mean,train_grad_norm_max,learning_rate,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,improved,epoch_seconds
1,94,0.5600904994136514,17.12020685064032,50.559608459472656,9.980578254468252e-06,0.985323992102317,0.7040498442367601,0.6586475926264659,0.6710886168717494,0.6618055555555555,0.7053348909657321,True,11.315
2,188,0.1578596134249582,14.65737911044283,47.982643127441406,9.328192198293831e-06,1.0846514360184238,0.7289719626168224,0.6801122247730121,0.6711835687739303,0.6728611953713065,0.7216197749491552,True,10.844
3,282,0.08535343031321083,13.084819041034008,54.09476852416992,7.865241833660736e-06,1.2907020830291083,0.719626168224299,0.676599455985292,0.6837272499923102,0.6795031055900621,0.7235359706662023,True,10.453
4,376,0.04211099684039087,9.348482145709877,69.87590789794922,5.865701904824923e-06,1.4190395747389748,0.7102803738317757,0.6804649758454108,0.675604181628278,0.6756654283789724,0.7145327492961053,False,10.339
5,470,0.02562854983734845,4.918835406132201,37.53425598144531,3.7040372288273784e-06,1.5355755101854556,0.7009345794392523,0.6772717271727172,0.6765430018442066,0.6721738094231338,0.7086364075465744,False,10.13
