epoch,global_step,train_loss,train_grad_norm_mean,train_grad_norm_max,learning_rate,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,improved,epoch_seconds
1,94,0.981174879887431,6.387171339481435,15.42777156829834,1.9961156508936505e-05,0.761014468944704,0.6479750778816199,0.5992165608737919,0.5666468738757896,0.575111572867047,0.6314882291625254,True,12.377
2,188,0.6860220100568688,9.374636287384845,21.139135360717773,1.8656384396587663e-05,0.8538639627141744,0.660436137071651,0.654739058744065,0.5495923086284532,0.561902305445825,0.6242812239588221,False,11.102
3,282,0.45676551235958085,9.734551746794518,24.763675689697266,1.573048366732147e-05,0.7550739038770444,0.7227414330218068,0.7046839569160998,0.6563951443469516,0.6680252797101924,0.7133833759893657,True,11.851
4,376,0.25380685862191144,8.71292874407261,25.004743576049805,1.1731403809649847e-05,0.8595248308508567,0.6853582554517134,0.6408047632766735,0.6250583419258119,0.6309238148698014,0.6815783810013676,False,11.296
5,470,0.1083206584920054,7.508412418847389,54.11507034301758,7.408074457654757e-06,1.2020157906125268,0.6915887850467289,0.648028083028083,0.6449882112532714,0.6464095633316963,0.6912998124295014,False,11.612
